period,short_descriptions,temperature
Tonight,Clear,Low: 59 °F
Friday,Sunny,High: 89 °F
Friday Night,Clear,Low: 62 °F
Saturday,Sunny,High: 89 °F
Saturday Night,Mostly Clear,Low: 59 °F
Sunday,Mostly Sunny,High: 77 °F
Sunday Night,Mostly Clear then Patchy Fog,Low: 52 °F
Monday,Patchy Fog then Mostly Sunny,High: 68 °F
Monday Night,Mostly Clear,Low: 51 °F
